city,lon,lat,month,monthnum,sunshine,daylight_total,days_in_month,pct_sunshine
Pittsburgh,-79.995888,40.440624,Jan,0,94,301,31,31
Pittsburgh,-79.995888,40.440624,Feb,1,109,299,28,36
Pittsburgh,-79.995888,40.440624,Mar,2,155,370,31,42
Pittsburgh,-79.995888,40.440624,Apr,3,183,398,30,46
Pittsburgh,-79.995888,40.440624,May,4,217,446,31,49
Pittsburgh,-79.995888,40.440624,Jun,5,242,448,30,54
Pittsburgh,-79.995888,40.440624,Jul,6,255,455,31,56
Pittsburgh,-79.995888,40.440624,Aug,7,228,426,31,54
Pittsburgh,-79.995888,40.440624,Sep,8,197,374,30,53
Pittsburgh,-79.995888,40.440624,Oct,9,167,345,31,48
Pittsburgh,-79.995888,40.440624,Nov,10,99,300,30,33
Pittsburgh,-79.995888,40.440624,Dec,11,74,292,31,25
Seattle,-122.335167,47.608013,Jan,0,69,280,31,25
Seattle,-122.335167,47.608013,Feb,1,108,288,28,38
Seattle,-122.335167,47.608013,Mar,2,178,370,31,48
Seattle,-122.335167,47.608013,Apr,3,207,409,30,51
Seattle,-122.335167,47.608013,May,4,253,468,31,54
Seattle,-122.335167,47.608013,Jun,5,268,475,30,56
Seattle,-122.335167,47.608013,Jul,6,312,479,31,65
Seattle,-122.335167,47.608013,Aug,7,281,440,31,64
Seattle,-122.335167,47.608013,Sep,8,221,377,30,59
Seattle,-122.335167,47.608013,Oct,9,142,337,31,42
Seattle,-122.335167,47.608013,Nov,10,72,281,30,26
Seattle,-122.335167,47.608013,Dec,11,52,267,31,19
Chicago,-87.623177,41.881832,Jan,0,135,298,31,45
Chicago,-87.623177,41.881832,Feb,1,136,297,28,46
Chicago,-87.623177,41.881832,Mar,2,187,370,31,51
Chicago,-87.623177,41.881832,Apr,3,215,400,30,54
Chicago,-87.623177,41.881832,May,4,281,450,31,62
Chicago,-87.623177,41.881832,Jun,5,311,453,30,69
Chicago,-87.623177,41.881832,Jul,6,318,459,31,69
Chicago,-87.623177,41.881832,Aug,7,283,427,31,66
Chicago,-87.623177,41.881832,Sep,8,226,374,30,60
Chicago,-87.623177,41.881832,Oct,9,193,344,31,56
Chicago,-87.623177,41.881832,Nov,10,113,296,30,38
Chicago,-87.623177,41.881832,Dec,11,106,288,31,37
New York,-73.935242,40.73061,Jan,0,154,301,31,51
New York,-73.935242,40.73061,Feb,1,171,299,28,57
New York,-73.935242,40.73061,Mar,2,213,371,31,57
New York,-73.935242,40.73061,Apr,3,237,399,30,59
New York,-73.935242,40.73061,May,4,268,447,31,60
New York,-73.935242,40.73061,Jun,5,289,449,30,64
New York,-73.935242,40.73061,Jul,6,302,456,31,66
New York,-73.935242,40.73061,Aug,7,271,425,31,64
New York,-73.935242,40.73061,Sep,8,235,374,30,63
New York,-73.935242,40.73061,Oct,9,213,345,31,62
New York,-73.935242,40.73061,Nov,10,169,299,30,57
New York,-73.935242,40.73061,Dec,11,155,291,31,53
San Francisco,-122.446747,37.733795,Jan,0,165,308,31,54
San Francisco,-122.446747,37.733795,Feb,1,182,303,28,60
San Francisco,-122.446747,37.733795,Mar,2,251,371,31,68
San Francisco,-122.446747,37.733795,Apr,3,281,395,30,71
San Francisco,-122.446747,37.733795,May,4,314,439,31,72
San Francisco,-122.446747,37.733795,Jun,5,330,440,30,75
San Francisco,-122.446747,37.733795,Jul,6,300,447,31,67
San Francisco,-122.446747,37.733795,Aug,7,272,420,31,65
San Francisco,-122.446747,37.733795,Sep,8,267,372,30,72
San Francisco,-122.446747,37.733795,Oct,9,243,348,31,70
San Francisco,-122.446747,37.733795,Nov,10,189,306,30,62
San Francisco,-122.446747,37.733795,Dec,11,156,300,31,52
Houston,-95.358421,29.749907,Jan,0,144,327,31,44
Houston,-95.358421,29.749907,Feb,1,141,312,28,45
Houston,-95.358421,29.749907,Mar,2,193,372,31,52
Houston,-95.358421,29.749907,Apr,3,212,387,30,55
Houston,-95.358421,29.749907,May,4,266,422,31,63
Houston,-95.358421,29.749907,Jun,5,298,419,30,71
Houston,-95.358421,29.749907,Jul,6,294,428,31,69
Houston,-95.358421,29.749907,Aug,7,281,409,31,69
Houston,-95.358421,29.749907,Sep,8,238,370,30,64
Houston,-95.358421,29.749907,Oct,9,239,355,31,67
Houston,-95.358421,29.749907,Nov,10,181,321,30,56
Houston,-95.358421,29.749907,Dec,11,146,320,31,46
Miami,-80.191788,25.761681,Jan,0,222,334,31,66
Miami,-80.191788,25.761681,Feb,1,227,317,28,72
Miami,-80.191788,25.761681,Mar,2,266,372,31,72
Miami,-80.191788,25.761681,Apr,3,275,383,30,72
Miami,-80.191788,25.761681,May,4,280,415,31,67
Miami,-80.191788,25.761681,Jun,5,251,411,30,61
Miami,-80.191788,25.761681,Jul,6,267,420,31,64
Miami,-80.191788,25.761681,Aug,7,263,403,31,65
Miami,-80.191788,25.761681,Sep,8,216,369,30,59
Miami,-80.191788,25.761681,Oct,9,215,358,31,60
Miami,-80.191788,25.761681,Nov,10,212,328,30,65
Miami,-80.191788,25.761681,Dec,11,209,329,31,64